id,claim,truth_value,title,stated_on
127,We must act now to shape the post-Ukraine war world.,meter-true,Opinion | How Biden can go down in history as one of the greatest presidents,"December 20, 2022 at 12:52 AM GMT+5:30"
128,"What's it like to be a 21st-century czar? There are turkeys, fertilizer and a lot of bluster about the Ukraine war.",meter-true,Opinion | A week in the life of Vladimir Putin,"December 05, 2022 at 5:30 PM GMT+5:30"
129,Poland is a member of NATO. A strike on the country could thus mark a pivotal moment in the Russia-Ukraine war — depending on what actually happened.,meter-true,What are Articles 4 and 5 of NATO’s founding treaty and why do they matter?,"November 16, 2022 at 5:19 AM GMT+5:30"
130,"The U.K.-based Collins's Dictionary names ""permacrisis,” an extended period of instability, as its word of the year amid the Ukraine war and rising inflation.",meter-true,‘Permacrisis’ is a dictionary’s word of the year in ‘truly awful’ 2022,"November 01, 2022 at 6:43 PM GMT+5:30"
131,"Diplomacy can’t stop the Ukraine war, alas. But it can avert a nuclear catastrophe.",meter-true,Opinion | Putin demands we listen to him. The U.S. should take him up on it.,"October 28, 2022 at 4:45 AM GMT+5:30"
132,In today's edition …  Why Democrats are increasingly nervous about California … The Fetterman-Oz debate … Beth Reinhard and Colby Itkowitz dig into Fetterman's time as mayor … In the States: Tobi looks at ballot initiatives on voting … What we're watching: Fall out from the CPC's Ukraine war letter.,meter-true,Analysis | Biden's closing economic pitch ahead of the midterms,"October 26, 2022 at 3:37 PM GMT+5:30"
133,"Javaid comes to General Assignment from the New York Times, where she spent part of 2022 covering the Ukraine war and other news for the Live Desk.",meter-true,Maham Javaid joins The Post’s General Assignment desk,"October 18, 2022 at 2:31 AM GMT+5:30"
134,The Marshall Plan gave economic aid to Europe and forged an alliance against the USSR 75 years ago. The Russia-Ukraine war is testing its legacy.,meter-true,Russia’s invasion of Ukraine has made the Marshall Plan relevant again,"October 08, 2022 at 4:30 PM GMT+5:30"
135,A Russian gamble should not force the United States to directly engage in the Ukraine war. ,meter-true,Opinion | Biden’s instincts to avoid war are sound — even if Putin goes nuclear,"October 07, 2022 at 1:13 AM GMT+5:30"
136,The European Union is shoring up its resources as temperatures drop and energy supplies remain tight because of the Ukraine war.,meter-true,"The E.U. is preparing for blackouts this winter, amid an energy crisis","October 05, 2022 at 7:00 PM GMT+5:30"
137,Russia’s failure to broker peace between Armenia and Azerbaijan underscores how the Ukraine war has hindered Moscow’s power along its borders. ,meter-true,"Opinion | Russia, drawn deeper into Ukraine, loses grip on conflict on its periphery ","September 30, 2022 at 8:43 PM GMT+5:30"
138,The survey data suggests that young married men may start opposing the Ukraine war,meter-true,Analysis | Putin just called up young men to the war. He’s taking a big risk.,"September 21, 2022 at 7:01 PM GMT+5:30"
139,"The Ukraine war is not over by any means, but the counteroffensive in Kharkiv has exposed anew President Vladimir Putin’s catastrophic miscalculations.",meter-true,Opinion | The meaning of Ukraine’s strike in Kharkiv — and Russia’s retreat,"September 13, 2022 at 1:19 AM GMT+5:30"
140,"The car explosion that killed Daria Dugina, the daughter of Vladimir Putin ally Alexander Dugin, is becoming a flash point in the Russia-Ukraine war. ",meter-true,A Putin ally’s daughter was killed near Russia’s capital: What to know,"August 21, 2022 at 7:46 PM GMT+5:30"
141,"Consumers around the world are experiencing shortages of their favorite foods due to the Ukraine war, cost of living crisis, inflation and coronavirus pandemic. ",meter-true,From Sriracha to soba: Why our favorite foods are in short supply,"August 18, 2022 at 2:31 PM GMT+5:30"
142,"Five months into the Ukraine war, new research backs up Ukrainian officials' concerns that Russian propaganda continues to spread via social media.",meter-true,Big Tech tried to quash Russian propaganda. Russia found loopholes.,"August 10, 2022 at 3:30 PM GMT+5:30"
143,The unwillingness to punish President Vladimir Putin for a killing in Berlin ordered by Moscow added to the Kremlin’s sense of impunity before the Ukraine war.,meter-true,The brazen murder that spotlighted Berlin’s timid Russia policy,"August 05, 2022 at 8:21 PM GMT+5:30"
144,"BP’s blockbuster second-quarter 2022 results were driven by higher fuel prices, the Ukraine war and a surge in global demand.",meter-true,"BP profits highest in 14 years, raking in $8.5 billion amid gas pump pinch","August 02, 2022 at 4:00 PM GMT+5:30"
145,"The new president, Ranil Wickremesinghe, must now confront upheaval unleashed by the pandemic and Ukraine war.",meter-true,"After ousting leader, Sri Lanka still staggered by one-two economic punch","July 23, 2022 at 11:30 AM GMT+5:30"
146,Russian President Vladimir Putin has been portrayed as more eccentric and irrational in the lead-up to the Ukraine war and in the following months.,meter-true,"CIA chief says 15,000 Russians killed in war, dismisses Putin health rumors","July 21, 2022 at 2:34 PM GMT+5:30"
147,The Ukraine war shows the importance of expanding the alliance.,meter-true,"Analysis | NATO Must Bring Finland, Sweden and Turkey Together","June 20, 2022 at 2:35 PM GMT+5:30"
148,Concerns are growing that inflation will erode support for the Ukraine war among Western allies and entrench Russian gains.,meter-true,Estonian leader urges faster help for Ukraine amid signs of war fatigue,"June 16, 2022 at 9:00 PM GMT+5:30"
149,"Speaking at the World Economic Forum in Davos, Switzerland, Kissinger urged the West to not seek an embarrassing defeat for Russia in Ukraine, warning it could worsen Europe’s long-term stability.",meter-true,Kissinger says Ukraine should cede territory to Russia to end war,"May 24, 2022 at 8:17 PM GMT+5:30"
150,Users of smart televisions and some digital platforms in Russia reported seeing an anti-Ukraine-war message on their screens.,meter-true,"Russian TV, online platforms hacked with antiwar message on Victory Day","May 09, 2022 at 6:57 PM GMT+5:30"
151,The CIA published instructions for how Russians disaffected by the Ukraine war can covertly volunteer information using an encrypted conduit to the agency’s website. ,meter-true,CIA instructs Russians on how to share secrets with the spy agency ,"May 03, 2022 at 11:11 PM GMT+5:30"
152,Western resolve is hardening in the Ukraine war. ,meter-true,Opinion | Does the exit ramp look more attractive to Putin now?,"April 27, 2022 at 4:31 AM GMT+5:30"
153,"The Russian military isn’t ""woke."" The Ukraine war is showing why that’s a weakness, not a strength.

",meter-true,Opinion | Trump is wrong about war. Russia’s failure in Ukraine shows why.,"April 11, 2022 at 4:30 PM GMT+5:30"
154,Mixed signals from Zelensky leave West confused about possible settlement to end Russia-Ukraine war,meter-true,Mixed signals from Ukraine’s president and his aides leave West confused about his endgame,"March 19, 2022 at 12:48 AM GMT+5:30"
155,The Ukraine war’s creepiest byproduct is its demonstration of the utility of nuclear weapons. Russia’s invasion shows that a nuclear power can engage in vicious regional aggression without paying the most severe price.,meter-true,Opinion | Watching Russia’s military failures is exhilarating. But a cornered Putin is dangerous.,"March 18, 2022 at 4:19 AM GMT+5:30"
156,"In his response, Biden’s tone was that of a leader who understands that Ukraine’s war is necessary, just — and likely to go on.",meter-true,Opinion | Zelensky’s appeal deserves a generous response,"March 17, 2022 at 2:07 AM GMT+5:30"
157,"A meeting of defense ministers called to discuss responses to the Ukraine war focused on ways to permanently shore up NATO’s defenses against Russia on air, sea and land.",meter-true,NATO proposes a major force expansion in Europe to address the long-term threat posed by Russia,"March 16, 2022 at 2:46 PM GMT+5:30"
158,"Russia sought to declare Facebook an extremist organization and YouTube blocked Russian state media channels worldwide on Friday, an escalation of the tit-for-tat between Silicon Valley companies and Russia as the Ukraine war enters its third week.",meter-true,Silicon Valley companies have been rewriting their rules during the war in Ukraine. Russia is retaliating.,"March 11, 2022 at 9:54 PM GMT+5:30"
159,The battle over casualties in the Ukraine war is just beginning.,meter-true,"Analysis | In Ukraine and other conflicts, measuring the human cost is important. It’s also very difficult.","March 11, 2022 at 6:15 PM GMT+5:30"
160,Harris is visiting Poland and Romania amid Ukraine war to reassure allies worried they might be next in Russia’s crosshairs. Warsaw's eagerness to provide planes to fight in Ukraine -- an idea the U.S. opposes -- has suddenly made the diplomatic mission more sensitive.,meter-true,Harris and Polish president seek to move beyond disagreement over jets,"March 10, 2022 at 4:30 PM GMT+5:30"
161,Joint Chiefs of Staff Chairman Gen. Mark A. Milley is walking a tightrope: Support Ukraine’s war against Russia — but contain that war within Ukraine’s borders.,meter-true,"Opinion | What it’s like at the border, delivering Javelins and Stingers to Ukraine","March 05, 2022 at 1:32 AM GMT+5:30"
162,Journalists analyze some Ukraine war videos pixel-by-pixel to make sure they aren't bogus.,meter-true,This is how journalists figure out if all those Ukraine videos are real,"March 03, 2022 at 4:26 AM GMT+5:30"
163,Federal Reserve Chair Jerome H. Powell told lawmakers Wednesday that “we will proceed carefully as we learn more about the implications of the Ukraine war for the economy.”,meter-true,Fed chief to Congress: Russia invasion in Ukraine has ‘highly uncertain’ implications for U.S. economy,"March 02, 2022 at 7:00 PM GMT+5:30"
164,"Our expectation of interactivity has us ""participating"" in Ukraine's war.",meter-true,Opinion | Ukraine is a war of the modern-day Web,"March 02, 2022 at 4:55 AM GMT+5:30"
165,"The session began with the Jan. 6 attack, and ended with the surprise appearance of Ukraine’s wartime president. Plenty happened along the way. ",meter-true,"Analysis | Goodbye to the 117th Congress, bookended by remarkable events","December 29, 2022 at 5:30 PM GMT+5:30"
166,The group represents a key weapon in Ukraine’s wartime arsenal: The will of everyday people to risk their lives to defend their nation.,meter-true,A Chernobyl tour group secretly helped track Russia’s invasion,"August 21, 2022 at 2:30 PM GMT+5:30"
167,"The Biennale announced that it will include work from Ukraine’s Wartime Art Archive in the “Piazza Ucraina,”",meter-true,Venice Biennale to include exhibition of wartime Ukrainian art,"April 17, 2022 at 5:00 AM GMT+5:30"
168,"The Senate Judiciary Committee chairman said a “process” is in place to verify such data from Ukraine, warning “it could be Russian propaganda.”",meter-true,Lindsey Graham says DOJ is handling information from Giuliani on Bidens,"February 09, 2020 at 11:46 PM GMT+5:30"
169,Neutral Austria has come under heavy criticism for granting visas that will allow sanctioned Russian lawmakers to attend a Vienna meeting of the Organization for Security and Cooperation in Europe,meter-true,Neutral Austria under pressure to get tougher on Russia,"February 12, 2023 at 9:16 PM GMT+5:30"
